row,base,csw,size,hvac_fuel,fuel,hours,occupancy,heat_a,heat_b,heat_c,cool_a,cool_b,cool_c,cool_mult_no_cooling,building_type
88,Single,Single,Large,FCU,Natural Gas,,100,0.008763515696,0.00010613874,4.02E-10,2.9759663996856,0.0030769027929,-1.59E-07,0.0048633395248,Hotel
89,Single,Double,Large,FCU,Natural Gas,,33,0.00352420893,0.00002199703,-7.76E-11,1.5591854598428,0.00086175617573,-6.84E-08,0.002888467299,Hotel
90,Single,Double,Large,FCU,Natural Gas,,100,0.01409683572,0.00006599109,-2.33E-10,6.2367418393712,0.00258526852719,-2.05E-07,0.0036630697578,Hotel
91,Double,Single,Large,FCU,Natural Gas,,33,0.0009227129373,0.00001659656,5.99E-11,0.3907975599678,0.0005703505972,-3.05E-08,0.0015323262017,Hotel
92,Double,Single,Large,FCU,Natural Gas,,100,0.0036908517492,0.00004978968,1.80E-10,1.5631902398712,0.0017110517916,-9.15E-08,0.0033662736694,Hotel
93,Single,Single,Large,Heat Pump,Electric,,33,0.0275163882,0.0004948968457,1.78E-08,0.7439915999214,0.0010256342643,-5.30E-08,0,Hotel
94,Single,Single,Large,Heat Pump,Electric,,100,0.1100655528,0.0014846905371,5.34E-08,2.9759663996856,0.0030769027929,-1.59E-07,0,Hotel
95,Single,Double,Large,Heat Pump,Electric,,33,0.0442765163,0.00030830152,1.08E-08,1.5591854598428,0.00086175617573,-6.84E-08,0,Hotel
96,Single,Double,Large,Heat Pump,Electric,,100,0.1771060652,0.00092490456,3.24E-08,6.2367418393712,0.00258526852719,-2.05E-07,0,Hotel
97,Double,Single,Large,Heat Pump,Electric,,33,0.0117289942,0.00023232061,8.19E-09,0.3907975599678,0.0005703505972,-3.05E-08,0,Hotel
98,Double,Single,Large,Heat Pump,Electric,,100,0.0469159768,0.00069696183,2.46E-08,1.5631902398712,0.0017110517916,-9.15E-08,0,Hotel
99,Single,N/A,Large,Electric,N/A,,33,19.65542606,0.00144809945,2.86E-07,0,0,0,0,Hotel
100,Single,N/A,Large,Electric,N/A,,100,78.62170424,0.00434429835,8.58E-07,0,0,0,0,Hotel
